Date,Image,Burn Factor,Transformation,YouTube Channel Link,YouTube Channel Name
"November 06, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20211106_033059_959361.jpg,62%,270° Rotation,https://www.youtube.com/channel/UCHTxidOI0vdasmgrZ8PqbBg,Clash Academy
"June 19, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20210619_123527_005469.jpg,62%,270° Rotation,https://www.youtube.com/channel/UCpYeAw5P9b_8SIxRQtM1l-Q,Lexnos Gaming
"March 25, 2022",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20220325_170719_528895.jpg,62%,270° Rotation,https://www.youtube.com/channel/UCsm7azsaxyQBRwjbR-P8IYw,The legend Afash
"November 11, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20211111_120639_646470.jpg,62%,270° Rotation,https://www.youtube.com/channel/UCB1JMJiNlQUiDrc0n2b3NpA,Doctor Mango
"June 04, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20210604_042627_506658.jpg,62%,270° Rotation,https://www.youtube.com/channel/UCZobR_-zjp5RHSie7M43CJw,The Lev
"August 28, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20210828_184029_641767.jpg,62%,270° Rotation,https://www.youtube.com/channel/UCkeDo2NpXfi-PW3Kw2O745w,APK Gaming
"January 30, 2022",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20220130_201041_456504.jpg,62%,270° Rotation,https://www.youtube.com/channel/UCzuatWwymtnW1QEYwCgEXmA,My Life Gaming
"July 05, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20210705_165341_503217.jpg,62%,270° Rotation,https://www.youtube.com/channel/UCOvUmSR1Mdl_NClMWuMEUPg,clash of clan 3 star league legend
"May 12, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20210512_184818_657849.jpg,62%,270° Rotation,https://www.youtube.com/channel/UCCZ-2-u-aoWIqh-8UPxmIUw,neville lee
"November 01, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20211101_040917_635724.jpg,62%,270° Rotation,https://www.youtube.com/channel/UC1R5dkg2WF8-zvDlkDEMDUw,BlazeJP
"May 14, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20210514_162520_514660.jpg,62%,270° Rotation,https://www.youtube.com/channel/UCGsQAkOMZ_xWxN0fsJThlIw,Noviembre Rojo YT English
"March 19, 2022",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20220319_061007_078359.jpg,62%,270° Rotation,https://www.youtube.com/channel/UC51BDrBqovsPChpAZrXSHig,yuta 14
"September 28, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20210928_093238_095675.jpg,62%,270° Rotation,https://www.youtube.com/channel/UCf-bZ3wJ-weTY14Ma7KG_ow,Clash with Goan
"October 18, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20211018_141522_211402.jpg,62%,Horizontal Reflection,https://www.youtube.com/channel/UCpQuAcQZ3LDF9fRuKOhgXdQ,Fluffy Clash of clans
"November 08, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20211108_230958_915134.jpg,62%,Horizontal Reflection,https://www.youtube.com/channel/UCHTxidOI0vdasmgrZ8PqbBg,Clash Academy
"March 19, 2022",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20220319_204215_608231.jpg,62%,Vertical Reflection,https://www.youtube.com/channel/UCg_kamhQSyUZqHjMcX4CHNw,Rak Gaming CoC
"March 18, 2022",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20220318_172604_609009.jpg,58%,Original,https://www.youtube.com/channel/UCe43_FsaR1dnwLjQiYgjfMA,DEMONS BASES
"June 18, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20210618_151348_299845.jpg,58%,Original,https://www.youtube.com/channel/UCX1ArJYSe9GqZtvLuPlzg0A,Celinho Clash of Clans
"January 05, 2022",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20220105_004849_184895.jpg,58%,Original,https://www.youtube.com/channel/UCvYouWGTsIwftlsIuLzUufw,Gaming Domain
"March 04, 2022",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20220304_160654_877721.jpg,58%,Original,https://www.youtube.com/channel/UCB1JMJiNlQUiDrc0n2b3NpA,Doctor Mango
